Mandi Name - Agmark,Mandi Name (Hi),District ID,District Name - Agmark,State Name,Source
Seethammadhara(Rythu Bazar),सीथम्माधारा (रायथू बाजार),0103,Visakhapatnam,Andhra Pradesh,Agmark
"Steel Plant,RBZ","स्टील प्लांट, आरबीजेड",0103,Visakhapatnam,Andhra Pradesh,Agmark
Vadlapudi,वडलापुडी,0103,Visakhapatnam,Andhra Pradesh,Agmark
Visakhapatnam,विशाखापत्तनम,0103,Visakhapatnam,Andhra Pradesh,Agmark
Yellamanchili,येल्लमंचिली,0103,Visakhapatnam,Andhra Pradesh,Agmark
Alamuru,आलमुरु,0104,East Godavari,Andhra Pradesh,Agmark
Allavaram,अल्लवरम्,0104,East Godavari,Andhra Pradesh,Agmark
"Amalapuram(Mpl. Gate),RBZ","अमलापुरम (एमपीएल गेट), आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Ambajipeta,अंबाजीपेटा,0104,East Godavari,Andhra Pradesh,Agmark
Anaparthy,अनापार्थी,0104,East Godavari,Andhra Pradesh,Agmark
Gandhinagar RBZ,गांधीनगर आरबीजेड,0104,East Godavari,Andhra Pradesh,Agmark
"Ganesh Chouk,Rajahmundry,RBZ","गणेश चौक, राजमुंदरी, आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Jaggampet,जग्गम्पेता,0104,East Godavari,Andhra Pradesh,Agmark
Kakinada,काकीनाडा,0104,East Godavari,Andhra Pradesh,Agmark
"Kakinada(R.T.C) ,RBZ","काकीनाडा (आरटीसी), आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Kakinda(Rythu Bazar),काकिंडा(रयथू बाजार),0104,East Godavari,Andhra Pradesh,Agmark
Karapa,करापा,0104,East Godavari,Andhra Pradesh,Agmark
Kothapeta,कोथपेटा,0104,East Godavari,Andhra Pradesh,Agmark
Mandapeta,मंडपेटा,0104,East Godavari,Andhra Pradesh,Agmark
Mummidivaram,मुम्मिदिवरम,0104,East Godavari,Andhra Pradesh,Agmark
Nagaram,नाग अ राम,0104,East Godavari,Andhra Pradesh,Agmark
Peddapuram,पेद्दापुरम,0104,East Godavari,Andhra Pradesh,Agmark
Peddapuram(Phase7),पेद्दापुरम (चरण 7),0104,East Godavari,Andhra Pradesh,Agmark
Pithapuram,पीथापुरम,0104,East Godavari,Andhra Pradesh,Agmark
Prattipadu,प्राथिपाडू,0104,East Godavari,Andhra Pradesh,Agmark
Rajahmundry,राजमुंदरी,0104,East Godavari,Andhra Pradesh,Agmark
"Rajahmundry(Nataraj),RBZ","राजमुंदरी (नटराज), आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Ramachandrapuram,रामचंद्रपुरम,0104,East Godavari,Andhra Pradesh,Agmark
"Ravulapalem(MY),RBZ","रावुलपलेम (एमवाई), आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Ravulapelem,रावुलापेलेम,0104,East Godavari,Andhra Pradesh,Agmark
Razole,राजोलु,0104,East Godavari,Andhra Pradesh,Agmark
Samalkot,समालकोट,0104,East Godavari,Andhra Pradesh,Agmark
Sampara,संपारा,0104,East Godavari,Andhra Pradesh,Agmark
"Satellite,RBZ","सैटेलाइट, आरबीजेड",0104,East Godavari,Andhra Pradesh,Agmark
Tellarevu,तेलारेवु,0104,East Godavari,Andhra Pradesh,Agmark
Tuni,तुनि,0104,East Godavari,Andhra Pradesh,Agmark
Achanta,अचंता,0105,West Godavari,Andhra Pradesh,Agmark
Akiveedu,अकीविदु,0105,West Godavari,Andhra Pradesh,Agmark
Attili,अत्तिली,0105,West Godavari,Andhra Pradesh,Agmark
Bhimadole,भीमाडोल,0105,West Godavari,Andhra Pradesh,Agmark
Bhimavaram,भीमावरम,0105,West Godavari,Andhra Pradesh,Agmark
"Bhimavaram,RBZ","भीमावरम, आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
Chintalapudi,चिंतलपुडी,0105,West Godavari,Andhra Pradesh,Agmark
Denduluru,डेंडुलुरु,0105,West Godavari,Andhra Pradesh,Agmark
Eluru,एलुरु,0105,West Godavari,Andhra Pradesh,Agmark
"Eluru-II,RBZ","एलुरु-द्वितीय, आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
"Eluru(P.Sri.Mkt),RBZ","एलुरु (पी.श्री मार्केट), आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
Gopalavaram,गोपालवरम,0105,West Godavari,Andhra Pradesh,Agmark
Kovvur,कोव्वुर,0105,West Godavari,Andhra Pradesh,Agmark
"Kovvur,RBZ","कोव्वुर, आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
Narsapuram,नरसापुरम,0105,West Godavari,Andhra Pradesh,Agmark
"Narsapuram,RBZ","नरसापुरम, आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
Nidadavolu,निदादावोले,0105,West Godavari,Andhra Pradesh,Agmark
Palakole,पालकोले,0105,West Godavari,Andhra Pradesh,Agmark
"Palakole ,RBZ","पालाकोले, आरबीजेड",0105,West Godavari,Andhra Pradesh,Agmark
Pathebad(Rythu Bazar),पाथेबाद (रायथू बाजार),0105,West Godavari,Andhra Pradesh,Agmark
Penugonda,पेनुगोंडा,0105,West Godavari,Andhra Pradesh,Agmark
Polavaram,पोलावरम,0105,West Godavari,Andhra Pradesh,Agmark
Tadepalligudem,ताडेपल्लीगुडेम,0105,West Godavari,Andhra Pradesh,Agmark
Tanuku,टनुकु,0105,West Godavari,Andhra Pradesh,Agmark
Undi,उंडी,0105,West Godavari,Andhra Pradesh,Agmark
Ungatur,उंगाटुर,0105,West Godavari,Andhra Pradesh,Agmark
"Bapulapadu,RBZ","बापुलपडु, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Divi,प्रखंड,0106,Krishna,Andhra Pradesh,Agmark
Gannavaram,गन्नवरम,0106,Krishna,Andhra Pradesh,Agmark
Gudiwada,गुड़ीवाड़ा,0106,Krishna,Andhra Pradesh,Agmark
"Gudiwada,RBZ","गुड़ीवाड़ा, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
"Ibrahimpatnam,RBZ","इब्राहिमपट्नम, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Jaggayyapeta,जग्गय्यापेटा,0106,Krishna,Andhra Pradesh,Agmark
"Jaggayyapeta (G.Hospital),RBZ","जग्गय्यापेटा (जी.हॉस्पिटल),आरबीज़ेड",0106,Krishna,Andhra Pradesh,Agmark
Kaikaluru,कैकालुरु,0106,Krishna,Andhra Pradesh,Agmark
Kalidindi,कालिदिनी,0106,Krishna,Andhra Pradesh,Agmark
Kanchekacherla,कंचेकचेरला,0106,Krishna,Andhra Pradesh,Agmark
"Kanchekacherla,RBZ","कंचेकचेरला, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Kankipadu,कनकीपदु,0106,Krishna,Andhra Pradesh,Agmark
"Kedareshwari peta, Vijayawada,RBZ","केदारेश्वरी पेटा, विजयवाड़ा, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
"Machalipatnam (Court),RBZ","मछलीपट्टनम (न्यायालय), आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Machilipatnam,मछलीपट्टनम,0106,Krishna,Andhra Pradesh,Agmark
Malleswaram,मल्लेश्वरम,0106,Krishna,Andhra Pradesh,Agmark
Movva Hqs,मूववा मुख्यालय,0106,Krishna,Andhra Pradesh,Agmark
Mylavaram,मायलवरम,0106,Krishna,Andhra Pradesh,Agmark
"Mylavaram,RBZ","मायलावरम, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Nandigama,नंदीगाम,0106,Krishna,Andhra Pradesh,Agmark
"Nandigama,RBZ","नंदीगामा, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Nuzvid,नुज्विद,0106,Krishna,Andhra Pradesh,Agmark
"Nuzvid (Gandhi Park),RBZ","नुज्विद (गांधी पार्क), आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Pamarru,पमारू,0106,Krishna,Andhra Pradesh,Agmark
"Patamata,RBZ","पटामाटा, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Penamaluru,पेनामालुरु,0106,Krishna,Andhra Pradesh,Agmark
Swarajmaidan(Rythu Bazar),स्वराज मैदान (रायथू बाजार),0106,Krishna,Andhra Pradesh,Agmark
Tiruvuru,तिरुवुरु,0106,Krishna,Andhra Pradesh,Agmark
Vijayawada,विजयवाड़ा,0106,Krishna,Andhra Pradesh,Agmark
"Vijayawada(S.Maidan),RBZ","विजयवाड़ा (एस मैदान), आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Vuyyur,वयूर,0106,Krishna,Andhra Pradesh,Agmark
"Vuyyur,RBZ","वयूर, आरबीजेड",0106,Krishna,Andhra Pradesh,Agmark
Vuyyuru(Rythu Bazar),वुय्युरू(रयथू बाजार),0106,Krishna,Andhra Pradesh,Agmark
Bapatla,बापतला,0107,Guntur,Andhra Pradesh,Agmark
Chilakaluripet,चिलकलूरीपेट,0107,Guntur,Andhra Pradesh,Agmark
"CSMLS Point, ,RBZ,Guntur","सीएसएमएलएस प्वाइंट, आरबीजेड, गुंटूर",0107,Guntur,Andhra Pradesh,Agmark
Duggirala,दुग्गीराला,0107,Guntur,Andhra Pradesh,Agmark
Emani,इमानी,0107,Guntur,Andhra Pradesh,Agmark
"Gandhi Irvin Park(Tenali),RBZ","गांधी इरविन पार्क (तेनाली), आरबीजेड",0107,Guntur,Andhra Pradesh,Agmark
Guntur,गुंटूर,0107,Guntur,Andhra Pradesh,Agmark
Ipur,इपुर,0107,Guntur,Andhra Pradesh,Agmark
Krosuru,क्रोसुरु,0107,Guntur,Andhra Pradesh,Agmark
Kuchinapudi,कुचीनापुडी,0107,Guntur,Andhra Pradesh,Agmark
Macharla,मचर्ला,0107,Guntur,Andhra Pradesh,Agmark
Mangalagiri,मंगलगिरी,0107,Guntur,Andhra Pradesh,Agmark
"Mangalagiri(SLNS Temple),RBZ","मंगलागिरी (एसएलएनएस मंदिर), आरबीजेड",0107,Guntur,Andhra Pradesh,Agmark
Narasaraopet,नरसरावपेट,0107,Guntur,Andhra Pradesh,Agmark
"Narasaraopet,RBZ","नरसरावपेट, आरबीजेड",0107,Guntur,Andhra Pradesh,Agmark
Narasaraopeta,नारासरावपेता,0107,Guntur,Andhra Pradesh,Agmark
"Nr. Co-op Central Bank(Ten),RBZ","नं। को-ऑप सेंट्रल बैंक (टेन), आरबीजेड",0107,Guntur,Andhra Pradesh,Agmark
"Old Bus Stand, Chilakaluripet,RBZ","पुराना बस स्टैंड, चिलकालुरिपेट, आरबीजेड",0107,Guntur,Andhra Pradesh,Agmark
"Opp:Swami Theatre, ,RBZ,Guntur","विपक्ष: स्वामी थिएटर, आरबीजेड, गुंटूर",0107,Guntur,Andhra Pradesh,Agmark
Pidugurala,पिदुगुराला,0107,Guntur,Andhra Pradesh,Agmark
Pidugurala(Palnadu),पिदुगुराला (पलनाडू),0107,Guntur,Andhra Pradesh,Agmark
Ponnur,पोन्नूर,0107,Guntur,Andhra Pradesh,Agmark
Repalli,रेपल्ली,0107,Guntur,Andhra Pradesh,Agmark
Sattenapalli,सत्तेनापल्ली,0107,Guntur,Andhra Pradesh,Agmark
Tadikonda,ताड़िकोंडा,0107,Guntur,Andhra Pradesh,Agmark
Tenali,तेनाली,0107,Guntur,Andhra Pradesh,Agmark
Vinukonda,विनुकोंडा,0107,Guntur,Andhra Pradesh,Agmark
Addanki,अड़ंकी,0108,Prakasam,Andhra Pradesh,Agmark
Chirala,चिराला,0108,Prakasam,Andhra Pradesh,Agmark
Cumbum(AP),कुंबुम (एपी),0108,Prakasam,Andhra Pradesh,Agmark
Darsi,डारसी,0108,Prakasam,Andhra Pradesh,Agmark
"Dibbala Bazar,RBZ","डिब्बा बाजार, आरबीजेड",0108,Prakasam,Andhra Pradesh,Agmark
Giddalur,गिद्दलूर,0108,Prakasam,Andhra Pradesh,Agmark
Kandukur,कंदुकुर,0108,Prakasam,Andhra Pradesh,Agmark
"Kandukur (MRO Complex),RBZ","कंदुकुर (एमआरओ कॉम्प्लेक्स), आरबीजेड",0108,Prakasam,Andhra Pradesh,Agmark
Kanigiri,कनिगिरि,0108,Prakasam,Andhra Pradesh,Agmark
Kondapi,कोंडापी,0108,Prakasam,Andhra Pradesh,Agmark
"Kothapatnam B.Stand,RBZ","कोथापटनम बी.स्टैंड, आरबीजेड",0108,Prakasam,Andhra Pradesh,Agmark
"Lawyer pet (Sai tmpl),RBZ","वकील पालतू (साईं टीएमपीएल), आरबीजेड",0108,Prakasam,Andhra Pradesh,Agmark
Maddipadu,मड्डीपाडु,0108,Prakasam,Andhra Pradesh,Agmark
Markapur,मरकापुर,0108,Prakasam,Andhra Pradesh,Agmark
Martur,मारतुर,0108,Prakasam,Andhra Pradesh,Agmark
Ongole,ओंगोल,0108,Prakasam,Andhra Pradesh,Agmark
Ongole(Rythu Bazar),ओंगोल (रायथू बाजार),0108,Prakasam,Andhra Pradesh,Agmark
Parchur,परचूर,0108,Prakasam,Andhra Pradesh,Agmark
Podili,पोडिली,0108,Prakasam,Andhra Pradesh,Agmark
Santhamaguluru,संतामागुलुरु,0108,Prakasam,Andhra Pradesh,Agmark
Singarayakonda,सिंगारयाकोंडा,0108,Prakasam,Andhra Pradesh,Agmark
Alluru,अल्लुरू,0109,Nellore,Andhra Pradesh,Agmark
Atmakur(SPS),आत्माकुर (एसपीएस),0109,Nellore,Andhra Pradesh,Agmark
"Fatehkhanpet,RBZ","फतेहखानपेट, आरबीजेड",0109,Nellore,Andhra Pradesh,Agmark
Gudur,गुडूर,0109,Nellore,Andhra Pradesh,Agmark
"Gudur (G. Mpl Park),RBZ","गुदुर (जी. एमपीएल पार्क), आरबीजेड",0109,Nellore,Andhra Pradesh,Agmark
Kavali,कवाली,0109,Nellore,Andhra Pradesh,Agmark
"Kavali,RBZ","कवाली, आरबीजेड",0109,Nellore,Andhra Pradesh,Agmark
Kovur,कोवूर,0109,Nellore,Andhra Pradesh,Agmark
Naidupet,नायडूपेट,0109,Nellore,Andhra Pradesh,Agmark
Nellore,नेल्लोर,0109,Nellore,Andhra Pradesh,Agmark
"Nellore(Play Ground),RBZ","नेल्लोर (प्ले ग्राउंड), आरबीजेड",0109,Nellore,Andhra Pradesh,Agmark
Rapur,रापुर,0109,Nellore,Andhra Pradesh,Agmark
Sullurpet,सुल्लुरपेटा,0109,Nellore,Andhra Pradesh,Agmark
Udayagiri,उदयगिरि,0109,Nellore,Andhra Pradesh,Agmark
Vakadu,वकाडू,0109,Nellore,Andhra Pradesh,Agmark
Venkatagiri,वेंकटगिरी,0109,Nellore,Andhra Pradesh,Agmark
"A.A.Nagar,Kurnool,RBZ","ए.ए.नगर, कुरनूल, आरबीजेड",0110,Kurnool,Andhra Pradesh,Agmark
Adoni,अदोनी,0110,Kurnool,Andhra Pradesh,Agmark
"Adoni,RBZ","अदोनी, आरबीजेड",0110,Kurnool,Andhra Pradesh,Agmark
Allagadda,अलागड्डा,0110,Kurnool,Andhra Pradesh,Agmark
Alur,आलूर,0110,Kurnool,Andhra Pradesh,Agmark
Atmakur,आत्माकुर,0110,Kurnool,Andhra Pradesh,Agmark
Banaganapalli,बनगनपल्ली,0110,Kurnool,Andhra Pradesh,Agmark
"C.Camp,RBZ","सी.कैंप, आरबीजेड",0110,Kurnool,Andhra Pradesh,Agmark
Dhone,धोने,0110,Kurnool,Andhra Pradesh,Agmark
Koilkunta,कोइलकुंटा,0110,Kurnool,Andhra Pradesh,Agmark
"Kothpet,RBZ","कोथपेट, आरबीजेड",0110,Kurnool,Andhra Pradesh,Agmark
Kurnool,कुरनूल,0110,Kurnool,Andhra Pradesh,Agmark
Kurnool(Rythu Bazar),कुरनूल (रायथू बाजार),0110,Kurnool,Andhra Pradesh,Agmark
Nandikotkur,नंदिकोटकुर,0110,Kurnool,Andhra Pradesh,Agmark
Nandyal,नांदयाल,0110,Kurnool,Andhra Pradesh,Agmark
"Nandyal(Srinivasnagar),RBZ","नांदयाल (श्रीनिवासनगर), आरबीजेड",0110,Kurnool,Andhra Pradesh,Agmark
Pahikonda,पहीकोंडा,0110,Kurnool,Andhra Pradesh,Agmark
Pattikonda,पट्टीकोंडा,0110,Kurnool,Andhra Pradesh,Agmark
Yemmiganur,यम्मिगनूर,0110,Kurnool,Andhra Pradesh,Agmark
Anantapur,अनंतपुर,0111,Anantapur,Andhra Pradesh,Agmark
Dharmavaram,धर्मावरम,0111,Anantapur,Andhra Pradesh,Agmark
Gooti,गूटी,0111,Anantapur,Andhra Pradesh,Agmark
Guntakal,गुंतकल,0111,Anantapur,Andhra Pradesh,Agmark
Hindupur,हिन्दुपुर,0111,Anantapur,Andhra Pradesh,Agmark
"Hindupur,RBZ","हिंदुपुर, आरबीजेड",0111,Anantapur,Andhra Pradesh,Agmark
Kadiri,कादिरी,0111,Anantapur,Andhra Pradesh,Agmark
Kalyandurg,कल्याण,0111,Anantapur,Andhra Pradesh,Agmark
Madakasira,मदकसिरा,0111,Anantapur,Andhra Pradesh,Agmark
"P. Ramacharyulu Park,RBZ","पी. रामाचार्युलु पार्क, आरबीजेड",0111,Anantapur,Andhra Pradesh,Agmark
Penukonda,पेनुकोंडा,0111,Anantapur,Andhra Pradesh,Agmark
Rayadurg,रायदुर्ग,0111,Anantapur,Andhra Pradesh,Agmark
Tadipatri,ताडिपत्रि,0111,Anantapur,Andhra Pradesh,Agmark
Tenakallu,तेनाकल्लू,0111,Anantapur,Andhra Pradesh,Agmark
Urvakonda,उर्वकोंडा,0111,Anantapur,Andhra Pradesh,Agmark
Kurung Kumey,कुरुंग कुमे,3206,Papum Pore,Arunachal Pradesh,Agmark
Naharlagun,नाहरलगुन,3206,Papum Pore,Arunachal Pradesh,Agmark
Tawang,तवांग,3201,Tawang,Arunachal Pradesh,Agmark
Bomdila,बोमडिला,3202,West Kameng,Arunachal Pradesh,Agmark
Seppa,सेप्पा,3203,East Kameng,Arunachal Pradesh,Agmark
Daporijo,दापोरिजो,3204,Upper Subansiri,Arunachal Pradesh,Agmark
Ziro,जाइरो,3205,Lower Subansiri,Arunachal Pradesh,Agmark
Along,साथ-साथ,3207,West Siang,Arunachal Pradesh,Agmark
Pasighat,पासीघाट,3208,East Siang,Arunachal Pradesh,Agmark
Yingkiong,यिंगकियोंग,3209,Upper Siang,Arunachal Pradesh,Agmark
Anjaw,अंजॉ,3210,Lohit,Arunachal Pradesh,Agmark
Tezu,तेजु,3210,Lohit,Arunachal Pradesh,Agmark
Khonsa,खोंसा,3212,Tirap,Arunachal Pradesh,Agmark
